scenario,method,traj_id,traj_pos_rmse_m,traj_vel_rmse_mps
test,UKF,3,1953.097250129296,2.4638592581112233
test,UKF,4,81.08005606960278,0.198401244222432
test,UKF,5,1196.4358471061425,2.828404130865939
test,UKF,6,3967.581881051295,5.776216365163577
test,UKF,7,8796.888027112998,7.271560304222805
test,UKF,8,288.42355273274194,0.6619688406797993
test,UKF,9,252.60517269108266,0.5671419724827662
test,UKF,10,6739.459589847645,6.747311736834998
test,UKF,11,7883.452025970769,10.577455580150904
test,UKF,12,1026.9133529808144,1.105732493824732
test,UKF,13,634.6506945354606,0.9589975076533654
test,UKF,14,740.4572940382131,1.4924981157612023
test,UKF,15,2187.5097066666017,2.0601928636554385
test,UKF,16,968.9789422102398,0.9461885281585596
test,UKF,17,2479.0226344047946,2.085984091756394
test,UKF,18,904.405896238802,2.331013027228864
test,UKF,19,1043.8193361875985,2.94636262420938
test,UKF,20,3914.6791004227503,4.737825601291071
test,UKF,21,4283.394185196728,4.3240514969733965
test,UKF,22,1006.1338320199925,3.05539521184847
test,UKF,23,1517.867078605877,1.9121749365940666
test,UKF,24,5638.646956825911,5.982593716166238
test,UKF,25,1046.1102917539943,0.9919878035727372
test,UKF,26,395.43450620766896,1.1608977112139418
test,UKF,27,6364.336114782019,6.577593686380229
test,UKF,28,5239.945432543972,9.599032948786522
test,UKF,29,1043.3174478726253,2.788522474933069
test,UKF,30,983.8878650099788,3.303572560741565
test,UKF,31,186.2220516197375,0.2832672236506398
test,UKF,32,4130.161708802278,6.3081079108855285
test,UKF,33,14523.546820881202,17.06087790792757
test,UKF,34,1318.9792084833173,1.9419458893420296
test,UKF,35,3520.3673008948363,3.758998892578745
test,UKF,36,6969.431830448011,6.415563260418712
test,UKF,37,12997.967539105377,16.776724742819745
test,UKF,38,1693.1510709108454,2.896856381198854
test,UKF,39,789.4873983064485,1.6352357586558777
test,UKF,40,418.250576869171,0.8190309836318153
test,UKF,41,11437.170757163203,8.891134486792915
test,UKF,42,1961.6223254251056,3.2935594545766373
test,UKF,43,16398.952963605378,19.422629981412552
test,UKF,44,2155.648493456832,3.4908405682517096
test,UKF,45,434.03995428440527,0.8083420582935407
test,UKF,46,897.8685415741112,1.1225981264912526
test,UKF,47,3899.8119520476475,5.8831816808917194
test,UKF,48,617.4851869062111,0.46060957558937793
test,UKF,49,1926.2075109074694,3.625712502261093
test,UKF,50,4535.508719602488,7.298877999857578
test,UKF,51,2483.8945662723813,2.4116385671141196
test,UKF,52,1413.7821540254142,1.9622411100826405
test,UKF,53,16452.871768131205,15.272007246746734
test,UKF,54,2648.6833089047,4.886139678411809
test,UKF,55,3853.1431891963707,5.493804598602168
test,UKF,56,468.913014079888,0.8431294890190782
test,UKF,57,494.7989290613835,0.9570643814085715
test,UKF,58,6757.3744384053225,8.97212298361963
test,UKF,59,7685.650848745506,5.338550327654471
test,UKF,60,1369.7394427447273,2.204683582542191
test,UKF,61,22094.062776166713,25.279102528016622
test,UKF,62,10486.47880607064,10.946008279483951
test,UKF,63,2508.2341594752597,2.072943856666038
test,AUKF,0,12909.820497049892,16.219932839375126
test,AUKF,1,221.82552167142856,0.35620156992418944
test,AUKF,2,574.9162678271408,0.7030285738418685
test,AUKF,3,1955.7308630615414,2.469153929617924
test,AUKF,4,80.38154562998928,0.2444511678105364
test,AUKF,5,1191.9048085788777,2.8267752390000243
test,AUKF,6,3957.6559690099284,5.760837031958325
test,AUKF,7,8796.888027112998,7.271560304222805
test,AUKF,8,314.2152428566417,0.6712692587403922
test,AUKF,9,274.1132648691392,0.5585818397940382
test,AUKF,10,6739.459589847645,6.747311736834998
test,AUKF,11,7883.510764577638,10.5800241586652
test,AUKF,12,1016.4555215928974,1.054061107092614
test,AUKF,13,713.5903139569212,1.0423305731983195
test,AUKF,14,755.9913652748627,1.4935031023239256
test,AUKF,15,587.993465298207,0.7216240780131201
test,AUKF,16,972.5203025013778,1.0005961890925161
test,AUKF,17,2479.255778874263,2.0882018095456125
test,AUKF,18,865.6999568968301,2.3090479995334805
test,AUKF,19,1035.4479460562272,2.9282852873872867
test,AUKF,20,955.8087795857294,1.3250650967853133
test,AUKF,21,4283.026291342573,4.318314647702209
test,AUKF,22,1003.1796266635153,3.088089134173677
test,AUKF,23,1517.0465961495354,1.9126475274053472
test,AUKF,24,5638.646956825911,5.982593716166238
test,AUKF,25,947.6757044810439,0.9054541288965746
test,AUKF,26,583.3695302741306,1.2149244072574021
test,AUKF,27,6364.336114782019,6.577593686380229
test,AUKF,28,5240.702203238516,9.598723400273267
test,AUKF,29,1012.1691287687254,2.7502093854877834
test,AUKF,30,977.0629325697792,3.2921573514385156
test,AUKF,31,293.51738386770705,0.31663836753103475
test,AUKF,32,4129.445301717071,6.291153799458461
test,AUKF,33,14523.546820881202,17.06087790792757
test,AUKF,34,1210.3989200961162,1.8619560438349727
test,AUKF,35,3524.8133976680956,3.7627645509310255
test,AUKF,36,6969.431830448011,6.415563260418712
test,AUKF,37,12997.948464367732,16.776667374441143
test,AUKF,38,1663.4301365147192,2.8695002329727197
test,AUKF,39,765.304122721807,1.6171021809323607
test,AUKF,40,405.21607233157374,0.8329785077676711
test,AUKF,41,11437.170757163203,8.891134486792915
test,AUKF,42,1962.072292820816,3.2942766574305526
test,AUKF,43,16398.952963605378,19.422629981412552
test,AUKF,44,2153.659521795087,3.4871191928381764
