scenario,label,trajectory_index,EnKF_observed_pos_rmse_m,EKF_observed_pos_rmse_m,UKF_observed_pos_rmse_m,AUKF_observed_pos_rmse_m
test,nominal,54,361.0958180816443,275.7648400375089,278.5346900896568,295.41719381491515
test,nominal,55,250.8006702520352,236.51064946449097,243.71079115524213,364.98219206421396
test,nominal,56,364.75300908604737,388.478248520894,386.08829643823555,446.627781052023
test,nominal,57,208.30112949531525,228.13846696026224,216.67553107458107,219.92945683736272
test,nominal,58,246.78048348785782,266.686829000003,258.67050100343033,300.4134617228569
test,nominal,59,,,,
test,nominal,60,731.0293059259284,712.6023834172748,708.5925416356104,809.3044536294985
test,nominal,61,,,,
test,nominal,62,,,,
test,nominal,63,530.3299504004514,567.4520174778356,569.2497951427665,549.9943082442486
stress_test,stress,0,597.3277204286998,587.0859007464487,540.6557156751463,481.88859504710365
stress_test,stress,1,,,,
stress_test,stress,2,715.8737073018583,721.2902724286582,721.6279708979862,744.0502371382254
stress_test,stress,3,1092.339243955386,1001.573182755226,1020.3769161628397,994.9488278761877
stress_test,stress,4,,,,
stress_test,stress,5,562.111503435454,618.9125449678883,617.9294149359166,621.9250149120726
stress_test,stress,6,1006.3974525452288,928.2773791430312,1001.3877003239872,917.5772633260696
stress_test,stress,7,1512.9204787016704,881.2656864615972,973.9092436544744,895.851652504865
stress_test,stress,8,214.08167708380682,200.8571813087295,228.03049514651622,163.58615344462805
stress_test,stress,9,550.6959590431718,611.1067852532547,602.5165036756233,641.598901547574
stress_test,stress,10,,,,
stress_test,stress,11,1223.2245684672998,1011.9797732323949,1387.117601075475,1179.5977936906809
stress_test,stress,12,,,,
stress_test,stress,13,1834.0497252073121,355.7881258554271,1301.5817683258472,361.8495535999607
stress_test,stress,14,1401.308868396055,646.8044339367241,1304.1964251682944,608.2148981941157
stress_test,stress,15,1452.7653522759542,698.3727419064215,1475.4964957289224,621.0073221947848
stress_test,stress,16,3379.110783115937,743.430060681796,3177.85394909108,457.581407263206
stress_test,stress,17,,,,
stress_test,stress,18,1081.2161172772967,1036.8590451919972,1036.1808797123197,997.6528629307013
stress_test,stress,19,,,,
stress_test,stress,20,1033.6326347347178,1106.8761134681336,1109.7657248737285,1103.54980203491
stress_test,stress,21,1165.3663828857552,1219.8712114348093,1231.6068661109005,1221.0238178366435
stress_test,stress,22,2186.9969361710546,566.3873403836981,2355.5854904987577,621.5193957242979
stress_test,stress,23,,,,
stress_test,stress,24,1643.7835578788608,738.5420648783493,1956.8854964668715,924.7837496502167
stress_test,stress,25,,,,
stress_test,stress,26,5050.097241122967,2478.6370573412,4987.328514857873,1356.3176751789488
stress_test,stress,27,606.4424632271689,573.1891587514027,686.5886670017122,484.68427821682974
stress_test,stress,28,,,,
stress_test,stress,29,637.6806190396447,371.59151143505744,657.1105258621335,353.4485414636673
stress_test,stress,30,280.93713812978234,254.35636936534544,255.39987483892054,212.49403253482822
stress_test,stress,31,2252.5484816629996,974.9124586194861,3257.207970866323,832.2076255672887
stress_test,stress,32,293.3127018851702,344.76003117241896,324.3515847872897,233.87001410010515
stress_test,stress,33,783.5828073444694,771.0934351982927,776.90611669628,804.8258649520933
