method,scenario,seed,comparison,baseline,metric,window_size,eval_start_step,observed_steps,candidate_observed_pos_rmse_m,baseline_observed_pos_rmse_m,observed_step_gain_m,observed_step_percent_improvement,seed_win,checkpoint
RGR-GF,stress_test,44,vs AUKF,AUKF,observed_step_pos_rmse_m,12,11,1432,1147.685506552772,915.2125245573543,-232.47298199541774,-25.400983460956688,False,results\seed_suite_hybrid_public\seed_44\best_hybrid.pt
RGR-GF,stress_test,45,vs UKF,UKF,observed_step_pos_rmse_m,12,11,1432,948.947090444993,1882.719629563295,933.772539118302,49.59700448520285,True,results\seed_suite_hybrid_public\seed_45\best_hybrid.pt
RGR-GF,stress_test,45,vs AUKF,AUKF,observed_step_pos_rmse_m,12,11,1432,948.947090444993,915.2125245573543,-33.73456588763872,-3.685981669006831,False,results\seed_suite_hybrid_public\seed_45\best_hybrid.pt
RGR-GF,stress_test,46,vs UKF,UKF,observed_step_pos_rmse_m,12,11,1432,1115.1454742694732,1882.719629563295,767.5741552938218,40.769434983363084,True,results\seed_suite_hybrid_public\seed_46\best_hybrid.pt
RGR-GF,stress_test,46,vs AUKF,AUKF,observed_step_pos_rmse_m,12,11,1432,1115.1454742694732,915.2125245573543,-199.9329497121189,-21.845521597163145,False,results\seed_suite_hybrid_public\seed_46\best_hybrid.pt
RGR-GF,stress_test,47,vs UKF,UKF,observed_step_pos_rmse_m,12,11,1432,1073.1163367440918,1882.719629563295,809.6032928192033,43.00179804291913,True,results\seed_suite_hybrid_public\seed_47\best_hybrid.pt
RGR-GF,stress_test,47,vs AUKF,AUKF,observed_step_pos_rmse_m,12,11,1432,1073.1163367440918,915.2125245573543,-157.90381218673747,-17.253239870499826,False,results\seed_suite_hybrid_public\seed_47\best_hybrid.pt
RGR-GF,stress_test,48,vs UKF,UKF,observed_step_pos_rmse_m,12,11,1432,1204.6532157781094,1882.719629563295,678.0664137851857,36.01526234378648,True,results\seed_suite_hybrid_public\seed_48\best_hybrid.pt
RGR-GF,stress_test,48,vs AUKF,AUKF,observed_step_pos_rmse_m,12,11,1432,1204.6532157781094,915.2125245573543,-289.44069122075507,-31.62551685585204,False,results\seed_suite_hybrid_public\seed_48\best_hybrid.pt
RGR-GF,stress_test,49,vs UKF,UKF,observed_step_pos_rmse_m,12,11,1432,1234.8327673981241,1882.719629563295,647.8868621651709,34.41228592891715,True,results\seed_suite_hybrid_public\seed_49\best_hybrid.pt
RGR-GF,stress_test,49,vs AUKF,AUKF,observed_step_pos_rmse_m,12,11,1432,1234.8327673981241,915.2125245573543,-319.62024284076983,-34.92306259634671,False,results\seed_suite_hybrid_public\seed_49\best_hybrid.pt
RGR-GF,stress_test,50,vs UKF,UKF,observed_step_pos_rmse_m,12,11,1432,1314.9498836751466,1882.719629563295,567.7697458881485,30.15689309086585,True,results\seed_suite_hybrid_public\seed_50\best_hybrid.pt
RGR-GF,stress_test,50,vs AUKF,AUKF,observed_step_pos_rmse_m,12,11,1432,1314.9498836751466,915.2125245573543,-399.73735911779227,-43.67699833556437,False,results\seed_suite_hybrid_public\seed_50\best_hybrid.pt
RGR-GF,stress_test,51,vs UKF,UKF,observed_step_pos_rmse_m,12,11,1432,985.3377488517184,1882.719629563295,897.3818807115766,47.66412728801942,True,results\seed_suite_hybrid_public\seed_51\best_hybrid.pt
RGR-GF,stress_test,51,vs AUKF,AUKF,observed_step_pos_rmse_m,12,11,1432,985.3377488517184,915.2125245573543,-70.1252242943641,-7.662179265770037,False,results\seed_suite_hybrid_public\seed_51\best_hybrid.pt
RGR-GF,stress_test,52,vs UKF,UKF,observed_step_pos_rmse_m,12,11,1432,1003.3722207766587,1882.719629563295,879.3474087866364,46.70623256796897,True,results\seed_suite_hybrid_public\seed_52\best_hybrid.pt
RGR-GF,stress_test,52,vs AUKF,AUKF,observed_step_pos_rmse_m,12,11,1432,1003.3722207766587,915.2125245573543,-88.15969621930435,-9.632702116040544,False,results\seed_suite_hybrid_public\seed_52\best_hybrid.pt
RGR-GF,stress_test,53,vs UKF,UKF,observed_step_pos_rmse_m,12,11,1432,1058.8098765853883,1882.719629563295,823.9097529779067,43.76168071127065,True,results\seed_suite_hybrid_public\seed_53\best_hybrid.pt
RGR-GF,stress_test,53,vs AUKF,AUKF,observed_step_pos_rmse_m,12,11,1432,1058.8098765853883,915.2125245573543,-143.59735202803404,-15.690055388772722,False,results\seed_suite_hybrid_public\seed_53\best_hybrid.pt
RGR-GF,stress_test,54,vs UKF,UKF,observed_step_pos_rmse_m,12,11,1432,1246.600850458039,1882.719629563295,636.118779105256,33.78722827959288,True,results\seed_suite_hybrid_public\seed_54\best_hybrid.pt
RGR-GF,stress_test,54,vs AUKF,AUKF,observed_step_pos_rmse_m,12,11,1432,1246.600850458039,915.2125245573543,-331.3883259006848,-36.20889323613244,False,results\seed_suite_hybrid_public\seed_54\best_hybrid.pt
RGR-GF,stress_test,55,vs UKF,UKF,observed_step_pos_rmse_m,12,11,1432,1028.0772689895641,1882.719629563295,854.6423605737309,45.39403250243738,True,results\seed_suite_hybrid_public\seed_55\best_hybrid.pt
RGR-GF,stress_test,55,vs AUKF,AUKF,observed_step_pos_rmse_m,12,11,1432,1028.0772689895641,915.2125245573543,-112.86474443220982,-12.332080407968327,False,results\seed_suite_hybrid_public\seed_55\best_hybrid.pt
