scenario,scenario_index,realization_index,data_seed,initialization_seed,filter_seed,trajectories,time_steps,observed_step_count,zero_visible_step_count,visible_update_count,ekf_pos_rmse_m,ukf_pos_rmse_m,aukf_pos_rmse_m,best_nonadaptive_method,best_nonadaptive_pos_rmse_m,aukf_minus_ukf_m,aukf_vs_ukf_percent,aukf_minus_best_nonadaptive_m,aukf_vs_best_nonadaptive_percent,median_pre_update_r_only_nis_ukf,median_pre_update_r_only_nis_aukf,rho_pre_update_r_only_nis_aukf_vs_ukf,ukf_pre_update_r_only_nis_finite_count,aukf_pre_update_r_only_nis_finite_count,ukf_pre_update_r_only_nis_nonfinite_count,aukf_pre_update_r_only_nis_nonfinite_count,aukf_worse_than_ukf,aukf_worse_than_best_nonadaptive,finite_for_thresholds,divergent,exclusion_reason
low_inclination_test,5,3,591303,591320,591340,12,120,294,1014,294,372.45186104367474,359.25618177418534,372.0610844402907,UKF,359.25618177418534,12.804902666105363,3.5642817899105865,12.804902666105363,3.5642817899105865,5.373125035978909,5.242775670553611,0.9757404928133131,294,294,0,0,true,true,true,false,
low_inclination_test,5,4,591404,591421,591441,12,120,413,895,416,416.44373358617537,439.7906238523924,411.11369023612315,EKF,416.44373358617537,-28.676933616269253,-6.520587766303571,-5.330043350052222,-1.279895198362798,5.317128662221711,5.283503507375167,0.9936760689871112,416,416,0,0,false,false,true,false,
low_inclination_test,5,5,591505,591522,591542,12,120,277,1031,277,384.22366092976995,378.0028471827597,385.0737486790781,UKF,378.0028471827597,7.070901496318413,1.8705947717107325,7.070901496318413,1.8705947717107325,5.794059235710518,5.7016051396449345,0.9840432946394885,277,277,0,0,true,true,true,false,
low_inclination_test,5,6,591606,591623,591643,12,120,267,1041,267,369.28404183241344,367.2443450969801,366.6339010784305,UKF,367.2443450969801,-0.6104440185496287,-0.1662228504535381,-0.6104440185496287,-0.1662228504535381,5.113616133496236,5.237770389613055,1.0242791505806546,267,267,0,0,false,false,true,false,
low_inclination_test,5,7,591707,591724,591744,12,120,195,1113,195,524.4736862968851,510.95070256453585,558.2155332063478,UKF,510.95070256453585,47.264830641811955,9.250370026811373,47.264830641811955,9.250370026811373,6.450234861490596,6.318389975894083,0.9795596767516702,195,195,0,0,true,true,true,false,
sunsync_like_test,6,0,691000,691017,691037,12,120,163,1145,163,356.7828244622428,318.91563721928947,361.1703175971287,UKF,318.91563721928947,42.254680377839236,13.249485270232928,42.254680377839236,13.249485270232928,6.924991904533561,7.382093307227896,1.0660074999358606,163,163,0,0,true,true,true,false,
sunsync_like_test,6,1,691101,691118,691138,12,120,172,1136,175,333.0119551200727,339.41695586683886,341.9629074857349,EKF,333.0119551200727,2.5459516188960265,0.7500955903613908,8.950952365662204,2.6878771852003926,5.075483487514031,5.074752300736712,0.999855937512334,175,175,0,0,true,true,true,false,
sunsync_like_test,6,2,691202,691219,691239,12,120,399,909,424,383.29952269592246,491.13637907248125,378.0525644440582,EKF,383.29952269592246,-113.08381462842306,-23.024931454270117,-5.246958251864271,-1.3688924564685059,6.0679645618267735,5.738114730281437,0.9456407781910258,424,424,0,0,false,false,true,false,
sunsync_like_test,6,3,691303,691320,691340,12,120,315,993,332,361.05090425772437,358.4614053610018,365.81981790136103,UKF,358.4614053610018,7.358412540359211,2.05277679278991,7.358412540359211,2.05277679278991,6.601070000731235,6.181806038235207,0.9364854542597513,332,332,0,0,true,true,true,false,
sunsync_like_test,6,4,691404,691421,691441,12,120,195,1113,195,464.18419057021515,471.51923747058936,417.16345662530716,EKF,464.18419057021515,-54.3557808452822,-11.52779707077648,-47.02073394490799,-10.129757734132774,5.74988372051542,5.527244494064242,0.9612793515011776,195,195,0,0,false,false,true,false,
