tier,source_name,scenario,trajectory_row,trajectory_index,seed,split,source_is_extra,tier_flags,observed_steps,attention_selected_observed_step_rmse_m,local_selected_observed_step_rmse_m,mean_selected_observed_step_rmse_m,best_single_trajectory_observed_step_rmse_m,local_minus_attention_rmse_m,local_minus_mean_rmse_m,attention_selected_candidate_method,attention_selected_probability,local_selected_candidate_method,local_selected_probability,mean_selected_candidate_method,mean_selected_probability,best_single_candidate_method
all_eval_non_development,adaptive_candidate_fusion_observed_fixed_soft_obsckpt_seed163_split163_20260625,maneuver_shift_test,2,10,163,163,True,fresh_extra;all_eval_non_development,14,424.4209404229801,365.5421959284578,366.51610971291564,374.9063979733574,-58.87874449452232,-0.9739137844578636,EKF,0.6720929741859436,BatchWLS,0.49152109026908875,EKF,0.9445242285728455,EKF
all_eval_non_development,adaptive_candidate_fusion_observed_fixed_soft_obsckpt_seed163_split163_20260625,maneuver_shift_test,3,19,163,163,True,fresh_extra;all_eval_non_development,18,338.55541502814225,491.14908852018397,316.3247326214964,345.2816395485804,152.59367349204172,174.82435589868754,RFIS,0.6674869656562805,BatchWLS,0.3716789186000824,RFIS,0.94516921043396,EKF
all_eval_non_development,adaptive_candidate_fusion_observed_fixed_soft_obsckpt_seed163_split163_20260625,maneuver_shift_test,5,29,163,163,True,fresh_extra;all_eval_non_development,43,548.1431297122514,588.853117183607,829.6106297035798,542.7834064031757,40.70998747135559,-240.7575125199728,EKF,0.599102795124054,UKF,0.37137702107429504,UKF,0.9993271827697754,EKF
all_eval_non_development,adaptive_candidate_fusion_observed_fixed_soft_obsckpt_seed163_split163_20260625,maneuver_shift_test,6,41,163,163,True,fresh_extra;all_eval_non_development,28,342.53086057175085,249.57118590321895,343.863923770867,481.3531918113789,-92.9596746685319,-94.29273786764807,RFIS,0.9995796084403992,RFIS,0.8167233467102051,RFIS,0.9999927878379822,EKF
all_eval_non_development,adaptive_candidate_fusion_observed_fixed_soft_obsckpt_seed163_split163_20260625,process_noise_shift_test,0,38,163,163,True,fresh_extra;all_eval_non_development,49,364.1635875434268,337.3530405452623,363.57952668615826,415.26321549410585,-26.81054699816451,-26.226486140895986,UKF,0.999448835849762,UKF,0.7574208378791809,UKF,0.9999786019325256,UKF
all_eval_non_development,adaptive_candidate_fusion_observed_fixed_soft_obsckpt_seed163_split163_20260625,process_noise_shift_test,1,21,163,163,True,fresh_extra;all_eval_non_development,13,230.03883183093518,4283.203154689501,227.5774066006328,196.85152518003525,4053.1643228585663,4055.6257480888685,RFIS,0.8227241039276123,BatchWLS,0.5339837670326233,RFIS,0.9992472529411316,UKF
all_eval_non_development,adaptive_candidate_fusion_observed_fixed_soft_obsckpt_seed163_split163_20260625,process_noise_shift_test,2,19,163,163,True,fresh_extra;all_eval_non_development,31,328.18348749753966,320.83425029824605,326.70626827115245,291.9550242819688,-7.349237199293611,-5.872017972906406,UKF,0.9957489967346191,EKF,0.40985098481178284,UKF,0.755249559879303,UKF
all_eval_non_development,adaptive_candidate_fusion_observed_fixed_soft_obsckpt_seed163_split163_20260625,process_noise_shift_test,3,35,163,163,True,fresh_extra;all_eval_non_development,30,319.66619161370176,327.4567904771634,318.270682284274,353.7184983153208,7.790598863461639,9.186108192889378,RFIS,1.0,RFIS,0.74860018491745,RFIS,0.9997488856315613,UKF
all_eval_non_development,adaptive_candidate_fusion_observed_fixed_soft_obsckpt_seed163_split163_20260625,process_noise_shift_test,4,10,163,163,True,fresh_extra;all_eval_non_development,23,311.31337884927785,285.4923894142745,324.9203404144945,431.80728259372285,-25.820989435003355,-39.42795100021999,RFIS,0.999964714050293,RFIS,0.3943686783313751,RFIS,0.9993348121643066,UKF
all_eval_non_development,adaptive_candidate_fusion_observed_fixed_soft_obsckpt_seed163_split163_20260625,process_noise_shift_test,5,24,163,163,True,fresh_extra;all_eval_non_development,11,264.82520220868446,252.4033412100758,262.21392209105494,549.8625339512797,-12.42186099860865,-9.810580880979131,BatchWLS,0.9999831318855286,BatchWLS,0.5750160217285156,BatchWLS,0.9985536932945251,UKF
all_eval_non_development,adaptive_candidate_fusion_observed_fixed_soft_obsckpt_seed163_split163_20260625,process_noise_shift_test,6,4,163,163,True,fresh_extra;all_eval_non_development,25,127.80283138456934,262.61226706555726,143.43925709788402,309.8756681050308,134.80943568098792,119.17300996767324,BatchWLS,0.9999907612800598,RFIS,0.38301852345466614,BatchWLS,0.999531090259552,UKF
all_eval_non_development,adaptive_candidate_fusion_observed_fixed_soft_obsckpt_seed167_split167_20260625,maneuver_shift_test,0,42,167,167,True,fresh_extra;all_eval_non_development,27,249.3307701334545,283.1790269278829,249.86085849990903,284.0934664189984,33.84825679442838,33.31816842797386,RFIS,0.9963051676750183,EKF,0.3744647800922394,RFIS,0.9970402121543884,RFIS
all_eval_non_development,adaptive_candidate_fusion_observed_fixed_soft_obsckpt_seed167_split167_20260625,maneuver_shift_test,1,35,167,167,True,fresh_extra;all_eval_non_development,25,365.5710664286968,499.5611832893638,367.90620867976173,383.5537513617804,133.990116860667,131.65497460960205,RFIS,0.9983468651771545,RFIS,0.38763317465782166,RFIS,0.9999678134918213,RFIS
all_eval_non_development,adaptive_candidate_fusion_observed_fixed_soft_obsckpt_seed167_split167_20260625,maneuver_shift_test,2,15,167,167,True,fresh_extra;all_eval_non_development,38,477.8859824210452,461.843123620302,466.08494279164694,592.3451588878742,-16.042858800743204,-4.241819171344957,EKF,0.9981316924095154,EKF,0.673366367816925,EKF,0.987128496170044,RFIS
